year,avg_ACCEPTABLE_PM2.5_AQI_&_SPECIATION_MASS,avg_CARBON_MONOXIDE,avg_NITROGEN_DIOXIDE_(NO2),avg_OZONE,avg_PM10_TOTAL_0-10UM_STP,avg_PM2.5_-_LOCAL_CONDITIONS,avg_SULFUR_DIOXIDE,Weighted_AQI_Estimate
1964,,,,,,,22.136363636363637,0.0
1965,,,,,,,36.803875968992244,0.0
1966,,,,,,,89.5351876820208,0.0
1967,,,,,,,26.152941176470588,0.0
1968,,,,,,,49.63234019946452,0.0
1969,,,,,,,47.625426629078014,0.0
1970,,3.8438257887323943,,,,,33.91370469249823,3.8438257887323943
1971,,3.0943026336996335,32.596396614639396,0.009931012291146533,,,25.703091774947467,5.625425023288921
1972,,3.20313575672043,29.57396350856102,0.009146791091990384,,,19.077039316260787,5.301743363589839
1973,,2.8289019739699333,27.898802748023574,0.022062010939336407,,,17.903338703079797,4.9100745845901645
1974,,2.62461533601343,25.722984738538024,0.02117021583217072,,,17.244008802066016,4.535619591261032
1975,,2.2326630286941427,24.32157170679857,0.02148734172944493,,,13.567196537738141,4.164585730845435
1976,,1.9751479816873774,22.768812892792244,0.021909128469642,,,13.680375521879135,3.841891525618835
1977,,1.7565785087303678,26.2309278559322,0.023549297354365915,,,14.473693150591105,4.165986222864596
1978,,1.6907244255630978,22.222921629190555,0.024638384581123215,,,14.35304716602017,3.6324668106482894
1979,,1.4898432517337528,23.481430166995246,0.023700328385978263,,,12.47145616537961,3.688988019886024
1980,,1.235351017271885,26.21427054184642,0.023823964942566892,,,12.070020242835701,3.9033933132202074
1981,,1.087345633612663,25.012983107033637,0.022123018092974116,,,12.077789536077091,3.6785918369704014
1982,,1.0061980796787653,22.375598908458862,0.0236769799439427,,,10.68400962935506,3.308927770875719
1983,,1.1108613820045785,19.64534205193951,0.024142096904394218,18.615384615384617,,9.330304557415685,8.21856269435079
1984,,1.242577353136447,16.633511510599636,0.023891858203168272,26.586206896551722,,9.890781295696572,10.668360340330153
1985,,1.093449926860025,17.62478533669235,0.025593452849630473,30.797507788161994,,9.54884126434384,12.105449712944111
1986,,1.0577794062539243,17.639149147468352,0.024523928295567175,30.21388888888889,,9.613408532489181,11.899949509410526
1987,,1.0310284583758937,16.547999728202043,0.027186245076135155,29.885167464114833,,8.559030509688172,11.691195179449448
1988,,0.9483163862553299,16.180319638950895,0.028236916294908907,27.75974025974026,,9.224088170672024,10.924771414318167
1989,,1.0066697584634516,17.97630324068225,0.025983438729045096,26.454234972677597,,8.586413316847516,10.658156040119465
1990,,0.9614515940417353,18.616051415137616,0.025834002888613785,22.390489254686784,,8.216762087388208,9.341776401559796
1991,,0.9508633951657459,17.764872272727274,0.02898309693354705,24.13705391040243,,7.914616443300941,9.850290898816718
1992,,0.8821460891387822,17.04845949628253,0.02621011960860049,21.44741801733886,,6.219896536802031,8.870445523418242
1993,,0.8522880616923719,16.937871460036607,0.02790108525841315,20.022585669781932,,5.537359011863719,8.376755803475756
1994,,0.8390831353976074,17.87419012212644,0.028940172433936023,20.633675106238858,,5.574406730999869,8.654336967164511
1995,,0.7099649827538631,16.769581515842134,0.029164331781299353,20.30962877467363,,4.406426043525403,8.411287461741335
1996,,0.7414404800055157,17.770535457223797,0.02815461943736788,20.068938785612737,,4.283631354841685,8.42470969816741
1997,,0.6355822826771654,16.421789745725317,0.029150728377393843,20.086663835125446,,4.157405983862754,8.283185533505664
1998,,0.5936115711225903,16.153168603835617,0.03053313606528295,19.944556867758184,,3.813891169598032,8.19978681396288
1999,,0.5513423323837886,16.401271435631482,0.031728295948267156,17.743589743589745,11.158424657534246,3.631485574862684,8.94717909438222
2000,,0.5492845884375398,16.362830271489972,0.02784530044594432,16.16067219361084,11.222893821877507,3.4078041878967706,8.65346719380207
2001,11.356308411214954,0.537588225025227,16.973598349026993,0.03108532774011839,17.31070073096647,11.69155911202891,3.946103798913233,9.09962415262227
2002,10.975073746312685,0.4936774232804233,16.113479684035475,0.03208516003927344,17.0512679956761,11.70905493635824,3.367661757384178,9.003097816542267
2003,9.92871572871573,0.5222119240804997,16.093199402669633,0.030441189616828058,17.157230806000822,11.313973647711512,3.384069860082713,8.870704153676876
2004,9.386867088607595,0.47387941891690283,14.93516107249585,0.02862123686131387,14.76569736266885,10.465447154471544,2.902640675417269,7.985145457259759
2005,10.3575624082232,0.4598012039914686,15.841385773563859,0.030768943586576076,16.90980012658228,11.599358732553753,3.04398453064752,8.910348389352432
2006,8.713672375170532,0.4397003999381379,13.167958365987891,0.02882634770994011,16.214789326203206,9.335576077396658,2.703937939645923,7.727850246642818
2007,9.484861737876802,0.4277432288892634,10.717071764985162,0.030709855612043653,16.499776335403727,10.537683993823984,2.452470397215239,8.141037576979258
2008,8.997553335477646,0.33791121605249874,10.7230500526658,0.02986920273250958,15.012583080353199,9.588760139049826,2.0499790419065165,7.446235797944236
2009,7.519687986684645,0.29107254794046383,8.124555755291006,0.02845797934502535,13.941883256490135,8.346665296775722,1.5013543674019998,6.595753764262713
2010,7.666971070630801,0.320881161793031,6.796058400571428,0.03116835688335938,15.351367890083633,8.73438214674174,1.1270194893697083,6.972680842633104
2011,7.8739652961316144,0.2546881710208031,8.259350786107582,0.02863768474800031,14.722852057397958,8.57683196718413,1.092283265322375,6.843504024574983
2012,7.388111953375287,0.22331230705295654,7.941202253951528,0.0286507162645559,14.79206462007624,8.064058983923664,0.8681555508808569,6.630056699132565
